project_number,project_name,combination_id,need_date,reference_month
PRJ016,Customer Project Gamma,2,2026-09-20,2026-01-01
PRJ016,Customer Project Gamma,3,2026-10-20,2026-01-01
PRJ017,Capacity Recovery,4,2026-09-05,2026-01-01
PRJ017,Capacity Recovery,5,2026-10-05,2026-01-01
PRJ017,Capacity Recovery,6,2026-11-05,2026-01-01
PRJ018,Infrastructure Renewal,7,2026-09-25,2026-01-01
PRJ018,Infrastructure Renewal,8,2026-10-25,2026-01-01
PRJ018,Infrastructure Renewal,9,2026-11-25,2026-01-01
PRJ019,Process Improvement,1,2026-10-15,2026-01-01
PRJ019,Process Improvement,2,2026-11-15,2026-01-01
PRJ019,Process Improvement,3,2026-12-15,2026-01-01
PRJ020,Supply Chain Expansion,4,2026-10-31,2026-01-01
PRJ020,Supply Chain Expansion,5,2026-11-30,2026-01-01
PRJ020,Supply Chain Expansion,6,2026-12-31,2026-01-01
PRJ021,New Product Launch,7,2026-01-20,2026-01-01
PRJ021,New Product Launch,8,2026-02-20,2026-01-01
PRJ021,New Product Launch,9,2026-03-20,2026-01-01
PRJ022,Factory Consolidation,1,2026-02-05,2026-01-01
PRJ022,Factory Consolidation,2,2026-03-05,2026-01-01
PRJ022,Factory Consolidation,3,2026-04-05,2026-01-01
PRJ023,Digital Transformation,4,2026-03-15,2026-01-01
PRJ023,Digital Transformation,5,2026-04-15,2026-01-01
PRJ023,Digital Transformation,6,2026-05-15,2026-01-01
PRJ024,Lean Manufacturing Program,7,2026-04-25,2026-01-01
PRJ024,Lean Manufacturing Program,8,2026-05-25,2026-01-01
PRJ024,Lean Manufacturing Program,9,2026-06-25,2026-01-01
PRJ025,Export Expansion,1,2026-05-10,2026-01-01
PRJ025,Export Expansion,2,2026-06-10,2026-01-01
PRJ025,Export Expansion,3,2026-07-10,2026-01-01
PRJ026,Customer Project Delta,4,2026-06-20,2026-01-01
PRJ026,Customer Project Delta,5,2026-07-20,2026-01-01
PRJ026,Customer Project Delta,6,2026-08-20,2026-01-01
PRJ027,Maintenance Program,7,2026-07-05,2026-01-01
PRJ027,Maintenance Program,8,2026-08-05,2026-01-01
PRJ027,Maintenance Program,9,2026-09-05,2026-01-01
PRJ028,Packaging Upgrade,1,2026-08-15,2026-01-01
PRJ028,Packaging Upgrade,2,2026-09-15,2026-01-01
PRJ028,Packaging Upgrade,3,2026-10-15,2026-01-01
PRJ029,Quality Improvement Initiative,4,2026-09-25,2026-01-01
PRJ029,Quality Improvement Initiative,5,2026-10-25,2026-01-01
PRJ029,Quality Improvement Initiative,6,2026-11-25,2026-01-01
PRJ030,Future Growth Program,7,2026-10-10,2026-01-01
PRJ030,Future Growth Program,8,2026-11-10,2026-01-01
PRJ030,Future Growth Program,9,2026-12-10,2026-01-01
